Number,Cell Type,Timepoint,Treatment,M,IFNA,IFNb,IL29,Il28a,MXA,RIGI,ISG15,IFIT2,IFITM1,Rantes
83,IFNLR1-/-,24,IFNB+/IAV-,123.91,31.31,4.79,463.64,236.35,296.30,173.27,194.85,298.11,66.23,619.33
84,IFNLR1-/-,24,IFNB+/IAV-,68.88,73.22,5.67,65.17,90.89,46.13,27.43,137.59,186.14,24.49,283.42
85,IFNLR1-/-,24,IFNL+/IAV+,61603.50,124.72,158.41,29.66,38.07,102.57,87.05,493.72,33.67,461.77,82.35
86,IFNLR1-/-,24,IFNL+/IAV+,55344.82,199.74,155.13,43.58,26.77,77.62,78.11,505.57,47.70,498.92,38.13
87,IFNLR1-/-,24,IFNL+/IAV+,49971.50,224.12,179.99,93.46,31.71,59.60,59.98,414.93,23.56,469.02,44.30
88,IFNLR1-/-,24,IFNL+/IAV-,55.25,102.54,5.96,592.12,774.13,71.60,1077.23,2667.13,5880.33,1507.03,714.02
89,IFNLR1-/-,24,IFNL+/IAV-,44.98,59.69,3.18,964.76,1412.67,10.12,1154.94,4482.60,980.40,1015.35,326.81
90,IFNLR1-/-,24,IFNL+/IAV-,10.90,25.17,1.03,899.72,1006.48,44.02,950.54,2797.75,5135.67,1360.04,683.39
91,Wildtype,24,IFN-/IAV+,41165.61,95.64,156.75,704.09,190.14,224.97,398.87,2059.35,230.95,3595.54,134.63
92,Wildtype,24,IFN-/IAV+,39035.77,122.66,175.53,75.56,47.45,55.16,173.66,1891.98,131.94,2896.85,176.78
93,Wildtype,24,IFN-/IAV+,37876.05,129.53,160.72,29.69,16.52,24.52,151.31,1833.75,0.06,NA,NA
94,Wildtype,24,IFN-/IAV-,21.78,59.64,3.98,291.71,393.65,67.32,738.22,2420.78,4232.17,1658.60,408.12
95,Wildtype,24,IFN-/IAV-,62.50,79.54,4.07,444.76,571.92,42.46,1027.94,3186.08,6479.96,2091.14,293.42
96,Wildtype,24,IFN-/IAV-,11.01,207.61,16.37,1044.18,1309.77,90.19,2399.90,8043.91,11980.09,5688.75,771.48
97,IFNAR1-/-,24,IFN-/IAV+,74865.08,224.61,12.92,171.90,175.86,1189.59,11.76,124.87,396.59,22.37,594.85
98,IFNAR1-/-,24,IFN-/IAV+,102497.81,212.36,27.20,186.98,296.80,1749.07,18.56,183.84,465.80,44.53,738.54
99,IFNAR1-/-,24,IFN-/IAV+,67570.15,110.68,16.99,128.49,117.30,32.21,9.87,133.85,414.00,7.87,848.30
100,IFNAR1-/-,24,IFN-/IAV-,620.48,12.64,4.52,45.64,3.95,42.13,1.83,6.18,4.20,4.55,2.15
101,IFNAR1-/-,24,IFN-/IAV-,364.28,291.86,9.00,69.12,61.43,21.66,24.06,55.44,11.87,56.47,73.93
102,IFNAR1-/-,24,IFN-/IAV-,168.60,231.03,9.17,114.27,178.38,160.80,0.81,34.82,28.73,96.20,6.25
103,IFNLR1-/-,24,IFN-/IAV+,61881.14,114.80,194.21,1298.70,1269.70,619.19,190.40,1936.97,2879.18,1307.48,2176.57
104,IFNLR1-/-,24,IFN-/IAV+,49260.00,254.24,146.04,838.26,690.72,122.25,145.82,1412.08,2413.50,1089.68,1921.58
105,IFNLR1-/-,24,IFN-/IAV+,61947.42,94.54,173.46,764.39,712.39,221.29,94.25,730.71,1160.72,963.31,1137.08
106,IFNLR1-/-,24,IFN-/IAV-,20.05,64.08,0.91,4.36,4.35,3.72,4.32,4.43,4.64,7.15,2.78
107,IFNLR1-/-,24,IFN-/IAV-,66.95,19.24,92.14,4.88,2.62,2.73,2.52,82.88,3.36,2.42,1.49
108,IFNLR1-/-,24,IFN-/IAV-,5.98,33.84,3.14,0.87,0.53,0.15,0.05,0.22,NA,8.31,18.37
