Number,Cell Type,Timepoint,Treatment,M,IFNA,IFNb,IL29,Il28a,MXA,RIGI,ISG15,IFIT2,IFITM1,Rantes
21,IFNAR1-/-,12,IFNL+/IAV+,5794.16,33.81,44.83,52.23016604,45.10073165,63.23727975,2.21,260.0186453,132.2068544,21.7,16.56
22,IFNAR1-/-,12,IFNL+/IAV-,79.49,52.49,3.51,1.833377618,0.185381393,17.27446871,18.78,125.5459189,4.526924742,61.33,327.85
23,IFNAR1-/-,12,IFNL+/IAV-,22.55,27.97,0.94,1.716679974,0.112802431,22.95354117,23.12,157.7409257,4.913269423,66.07,411.49
24,IFNAR1-/-,12,IFNL+/IAV-,7.56,75.45,1.81,1.339499989,0.048163059,18.71490906,11.74,111.3566693,3.712419622,52.34,244.99
25,IFNLR1-/-,12,IFNB+/IAV+,503.73,88.8,36.53,87.35698006,43.59852709,758.9455435,1.62,949.414213,1467.881953,1.49,3.26
26,IFNLR1-/-,12,IFNB+/IAV+,492.25,23.2,33.24,45.85972648,49.88535725,508.6419268,2.15,1121.927327,1076.92404,1.05,1.34
27,IFNLR1-/-,12,IFNB+/IAV+,628.03,93.8,32.04,91.8556271,35.71044997,607.2534534,1.62,630.130219,723.8529457,3.27,0.54
28,IFNLR1-/-,12,IFNB+/IAV-,33.01,14.64,0.93,1.37886471,0.187022209,49.97927172,1.85,252.5894029,11.5688027,1.43,91.49
29,IFNLR1-/-,12,IFNB+/IAV-,23.67,14.03,0.59,1.038334372,0.120083907,36.02596734,1.13,160.6407073,8.464480148,1,63.13
30,IFNLR1-/-,12,IFNB+/IAV-,46.54,66.29,2.63,2.508800026,0.296600835,49.38894623,1.55,229.3529383,12.01574355,9.59,1.47
31,IFNLR1-/-,12,IFNL+/IAV+,28345.88,34.54,34.18,105.5437354,79.67774011,658.4300999,3.14,632.1526618,928.8987381,10.33,2.13
32,IFNLR1-/-,12,IFNL+/IAV+,25074.43,44.06,28.69,78.89658711,48.59136236,501.0766461,1.91,514.0722865,892.8644528,5.95,1.62
33,IFNLR1-/-,12,IFNL+/IAV+,23245.25,67.41,29.8,93.07610196,69.61973515,589.3298401,4.47,521.0066645,1331.474911,2.98,167.85
34,IFNLR1-/-,12,IFNL+/IAV-,22.61,14.82,0.15,0.731636773,0.0177966,0.69652223,64.36,5.906268756,2.88458564,390.93,173.7
35,IFNLR1-/-,12,IFNL+/IAV-,93.96,10.79,0.11,0.74658796,0.134144744,1.023496882,82.78,6.303378471,3.048522351,453.8,276
36,IFNLR1-/-,12,IFNL+/IAV-,6.2,13.67,0.4,0.600446835,0.047325209,0.809490604,53.68,4.976247444,2.081776104,317.78,161.84
37,Wildtype,12,IFN-/IAV+,22285.38,95.6,41.11,104.3481153,88.56801198,962.7367384,5.46,846.2331871,1258.419973,25.95,8.09
38,Wildtype,12,IFN-/IAV+,23089.24,87.57,35.13,111.479599,70.76652903,788.6728144,0.21,815.898617,1268.577814,2.03,0.58
39,Wildtype,12,IFN-/IAV+,25546.62,50.1,32.9,105.7417722,63.40492254,714.8673649,5.24,732.7298171,1498.311912,36.43,4.33
40,Wildtype,12,IFN-/IAV-,14.82,25.83,1.18,1.295293407,0.061336731,9.279379107,72.75,13.51737155,5.956373222,465.21,89.35
41,Wildtype,12,IFN-/IAV-,4.07,53.84,0.34,0.374980491,0.080055396,1.798921912,99.45,9.187812902,3.461932488,890.34,145.84
42,Wildtype,12,IFN-/IAV-,7.29,36.99,1.53,1.095174603,0.088109382,1.287286053,84.29,6.17612547,2.041276577,951.02,117.33
43,IFNAR1-/-,12,IFN-/IAV+,28292.79,42.67,5.41,11.04296781,5.706445944,9.571058217,3.56,37.34555515,37.66029982,3.82,1.34
44,IFNAR1-/-,12,IFN-/IAV+,26506.36,41.84,6.34,12.09294225,9.404902156,9.203255015,5.19,43.19894678,32.87882826,2.84,1.42
45,IFNAR1-/-,12,IFN-/IAV+,25786.16,31.06,6.79,16.20144399,5.894044547,11.88513885,3.71,38.29837379,38.38320486,1.46,1.88
46,IFNAR1-/-,12,IFN-/IAV-,3.19,30.47,1.49,1.527094282,0.036738887,1.534687993,204.18,10.55945131,3.504954303,261.81,162.82
47,IFNAR1-/-,12,IFN-/IAV-,2.68,10.82,0.2,0.740965401,0.07033246,0.768159356,123.3,6.121950096,1.897482242,138.17,68.61
48,IFNAR1-/-,12,IFN-/IAV-,1.23,17.21,0.73,0.940042311,0.105807744,0.62340628,146.9,4.294969832,2.218036762,236.88,114.15
49,IFNLR1-/-,12,IFN-/IAV+,31779.99,146.56,53.66,86.67632303,149.152034,787.8754007,7.43,1321.043164,1275.011339,1.97,2.12
50,IFNLR1-/-,12,IFN-/IAV+,38996.56,62.35,35.29,124.4630336,101.5594551,912.8100254,10.55,1087.943177,1297.417907,2.76,1.96
51,IFNLR1-/-,12,IFN-/IAV+,22421.99,38.43,39.23,74.85029227,68.91215093,457.8571308,6.74,778.7612237,883.4882289,2.83,1.75
52,IFNLR1-/-,12,IFN-/IAV-,3.52,25.46,0.69,0.780537024,0.055682609,0.47908693,15.45,4.352799258,2.841798566,5.38,97.84
53,IFNLR1-/-,12,IFN-/IAV-,5.98,15.54,0.31,0.505274443,0.033288469,0.573497304,8.1,4.83761003,1.785425286,2.79,51.7
54,IFNLR1-/-,12,IFN-/IAV-,0.58,24.26,0.53,0.989438692,0.024365171,0.594235138,10.24,4.404095208,2.965221502,3.03,60.54
55,Wildtype,24,IFNB+/IAV+,795.66,34.73,55.01,155.8540583,45.35057938,819.6391163,6.76,1790.68403,775.4721163,6.99,5.37
56,Wildtype,24,IFNB+/IAV+,1009.98,32.53,76.02,259.0214286,30.2413186,771.9034855,14.9,1852.158056,713.1891813,13.43,5.6
57,Wildtype,24,IFNB+/IAV+,895.43,34.88,69.95,279.5713157,56.84134568,1104.760096,33.27,2046.621998,1242.814047,40.23,8.21
58,Wildtype,24,IFNB+/IAV-,3.53,60.53,3.46,4.838697995,0.450215357,137.7599594,1847.33,298.0254481,13.52642695,2512.89,1413.83
59,Wildtype,24,IFNB+/IAV-,36.76,362.25,37.09,53.79438328,4.5682961,164.5050438,29710.43,221.669683,48.12302944,37930.75,22294.08
60,Wildtype,24,IFNB+/IAV-,3.66,44.73,1.3,2.170126729,0.633047599,55.38759862,882.62,116.5088743,7.62923427,991.96,563.89
61,Wildtype,24,IFNL+/IAV+,6966.22,54.67,115.45,614.080121,342.1496508,1152.207763,33.41,3083.287954,2002.463274,15.3,11.63
62,Wildtype,24,IFNL+/IAV+,4842.49,56.94,94.14,500.7196301,54.57378432,939.5077695,30.24,2351.376711,1632.804313,13,12.19
63,Wildtype,24,IFNL+/IAV+,3448.17,46.01,65.52,267.3070806,64.48166482,805.6909556,15.51,1891.520377,1215.26564,10.86,4.14
64,Wildtype,24,IFNL+/IAV-,109656.84,154.76,25.91,90.84027079,112.5562283,17.3370525,1269.18,258.3959487,678.1988396,1065.94,1156.16
65,Wildtype,24,IFNL+/IAV-,110.65,126.01,6.3,4.686243748,0.681486846,16.6003593,1115.91,52.60202061,4.990582975,908.58,1158.06
66,Wildtype,24,IFNL+/IAV-,531.45,92.43,11.65,4.741199539,2.083026887,23.74058201,953.76,71.50424863,2.855783379,1025.71,980.7
